OBJECTID,NAME,DESCRIPTION,UPDATE_DATE,Shape__Area,Shape__Length
1091,,RESERVOIR,1456617600000,2854.44689941406,203.855338881193
1092,,RESERVOIR,1456617600000,3321.44812011719,427.418162798204
1093,,RESERVOIR,1456617600000,3568.89331054688,295.604524007621
1094,,RESERVOIR,1456617600000,6201.53759765625,327.312042092677
1095,,RESERVOIR,1456617600000,8031.94360351563,341.350461266315
1096,,RESERVOIR,1456617600000,3091.18054199219,252.502448817343
1097,,RESERVOIR,1456617600000,2825.10998535156,367.07507213059
1098,,STREAM/RIVER,1456617600000,31842.2863769531,4599.60567342344
1099,,STREAM/RIVER,1456617600000,54643.9730224609,6275.14103129276
1100,,LAKE/POND,1456617600000,32594.4127197266,936.295988738188
1101,,RESERVOIR,1456617600000,2245.18505859375,198.628410860192
1102,,RESERVOIR,1456617600000,1268.9697265625,203.437784968533
1103,,LAKE/POND,1456617600000,9628.72680664063,409.561875739551
1104,,LAKE/POND,1456617600000,6327.92578125,311.005272166543
1105,,LAKE/POND,1456617600000,10465.9060058594,803.499121940504
1106,,LAKE/POND,1456617600000,3053.77075195313,339.589316303931
1107,,LAKE/POND,1456617600000,154285.378051758,1871.68429069924
1108,,LAKE/POND,1456617600000,14916.3634033203,652.429896072226
1109,,LAKE/POND,1456617600000,118069.391235352,1522.50797933546
1110,,LAKE/POND,1456617600000,5676.54724121094,365.339067200945
1111,,LAKE/POND,1456617600000,2471.94836425781,207.808316110959
1112,,LAKE/POND,1456617600000,12958.6556396484,717.638208746635
1113,,LAKE/POND,1456617600000,5623.36889648438,592.158661415422
1114,,LAKE/POND,1456617600000,29404.2924804688,846.599897413718
1115,,LAKE/POND,1456617600000,5516.61083984375,320.173490972003
1116,,LAKE/POND,1456617600000,71594.8269042969,2969.83630430943
1117,,LAKE/POND,1456617600000,5427.93310546875,359.974172749762
1118,,LAKE/POND,1456617600000,39674.33203125,1073.81161722768
1119,,LAKE/POND,1456617600000,6949.30603027344,415.72834452557
1120,,LAKE/POND,1456617600000,24776.8433837891,767.278855119639
1121,,LAKE/POND,1456617600000,7530.89514160156,497.984326553703
1122,,LAKE/POND,1456617600000,105684.762084961,1771.45386195874
1123,,LAKE/POND,1456617600000,12996.9259033203,507.911278821953
1124,,ROCK/ISLAND,1456617600000,567.138061523438,105.02730103637
1125,,LAKE/POND,1456617600000,7267.48889160156,318.012360956343
1126,,LAKE/POND,1456617600000,5937.43334960938,299.853275788354
